1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4B0000002F70E121
Is Mission Active?  true
Mission Start:  Tue Jun 18 13:00:00 GMT-03:00 2013
Sample Rate:  Every 1 minute(s)
Number of Mission Samples:  34393
Total Samples:  36206
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
18/06/13 6:41:00 PM,C,42.5
18/06/13 6:42:00 PM,C,42.5
18/06/13 6:43:00 PM,C,42.5
18/06/13 6:44:00 PM,C,42
18/06/13 6:45:00 PM,C,42
18/06/13 6:46:00 PM,C,41.5
18/06/13 6:47:00 PM,C,41.5
18/06/13 6:48:00 PM,C,41
18/06/13 6:49:00 PM,C,41
18/06/13 6:50:00 PM,C,40.5
18/06/13 6:51:00 PM,C,40.5
18/06/13 6:52:00 PM,C,40
18/06/13 6:53:00 PM,C,39.5
18/06/13 6:54:00 PM,C,39.5
18/06/13 6:55:00 PM,C,39
18/06/13 6:56:00 PM,C,38.5
18/06/13 6:57:00 PM,C,38.5
18/06/13 6:58:00 PM,C,38
18/06/13 6:59:00 PM,C,38
18/06/13 7:00:00 PM,C,37.5
18/06/13 7:01:00 PM,C,37.5
18/06/13 7:02:00 PM,C,37
18/06/13 7:03:00 PM,C,37
18/06/13 7:04:00 PM,C,36.5
18/06/13 7:05:00 PM,C,36.5
18/06/13 7:06:00 PM,C,36
18/06/13 7:07:00 PM,C,36
18/06/13 7:08:00 PM,C,35.5
18/06/13 7:09:00 PM,C,35.5
18/06/13 7:10:00 PM,C,35.5
18/06/13 7:11:00 PM,C,35
18/06/13 7:12:00 PM,C,35
18/06/13 7:13:00 PM,C,34.5
18/06/13 7:14:00 PM,C,34.5
18/06/13 7:15:00 PM,C,34.5
18/06/13 7:16:00 PM,C,34
18/06/13 7:17:00 PM,C,34
18/06/13 7:18:00 PM,C,34
18/06/13 7:19:00 PM,C,33.5
18/06/13 7:20:00 PM,C,33.5
18/06/13 7:21:00 PM,C,33.5
18/06/13 7:22:00 PM,C,33
18/06/13 7:23:00 PM,C,33
18/06/13 7:24:00 PM,C,33
18/06/13 7:25:00 PM,C,32.5
18/06/13 7:26:00 PM,C,32.5
18/06/13 7:27:00 PM,C,32.5
18/06/13 7:28:00 PM,C,32.5
18/06/13 7:29:00 PM,C,32
18/06/13 7:30:00 PM,C,32
18/06/13 7:31:00 PM,C,32
18/06/13 7:32:00 PM,C,32
18/06/13 7:33:00 PM,C,31.5
18/06/13 7:34:00 PM,C,31.5
18/06/13 7:35:00 PM,C,31.5
18/06/13 7:36:00 PM,C,31.5
18/06/13 7:37:00 PM,C,31.5
18/06/13 7:38:00 PM,C,31
18/06/13 7:39:00 PM,C,31
18/06/13 7:40:00 PM,C,31
18/06/13 7:41:00 PM,C,31
18/06/13 7:42:00 PM,C,30.5
18/06/13 7:43:00 PM,C,30.5
18/06/13 7:44:00 PM,C,30.5
18/06/13 7:45:00 PM,C,30.5
18/06/13 7:46:00 PM,C,30.5
18/06/13 7:47:00 PM,C,30.5
18/06/13 7:48:00 PM,C,30
18/06/13 7:49:00 PM,C,30
18/06/13 7:50:00 PM,C,30
18/06/13 7:51:00 PM,C,30
18/06/13 7:52:00 PM,C,30
18/06/13 7:53:00 PM,C,29.5
18/06/13 7:54:00 PM,C,29.5
18/06/13 7:55:00 PM,C,29.5
18/06/13 7:56:00 PM,C,29.5
18/06/13 7:57:00 PM,C,29.5
18/06/13 7:58:00 PM,C,29.5
18/06/13 7:59:00 PM,C,29
18/06/13 8:00:00 PM,C,29
18/06/13 8:01:00 PM,C,29
18/06/13 8:02:00 PM,C,29
18/06/13 8:03:00 PM,C,29
18/06/13 8:04:00 PM,C,29
18/06/13 8:05:00 PM,C,28.5
18/06/13 8:06:00 PM,C,28.5
18/06/13 8:07:00 PM,C,28.5
18/06/13 8:08:00 PM,C,28.5
18/06/13 8:09:00 PM,C,28.5
18/06/13 8:10:00 PM,C,28.5
18/06/13 8:11:00 PM,C,28.5
18/06/13 8:12:00 PM,C,28
18/06/13 8:13:00 PM,C,28
18/06/13 8:14:00 PM,C,28
18/06/13 8:15:00 PM,C,28
18/06/13 8:16:00 PM,C,28
18/06/13 8:17:00 PM,C,28
18/06/13 8:18:00 PM,C,28
18/06/13 8:19:00 PM,C,28
18/06/13 8:20:00 PM,C,28
18/06/13 8:21:00 PM,C,28
18/06/13 8:22:00 PM,C,27.5
18/06/13 8:23:00 PM,C,27.5
18/06/13 8:24:00 PM,C,27.5
18/06/13 8:25:00 PM,C,27.5
18/06/13 8:26:00 PM,C,27.5
18/06/13 8:27:00 PM,C,27.5
18/06/13 8:28:00 PM,C,27.5
18/06/13 8:29:00 PM,C,27.5
18/06/13 8:30:00 PM,C,27.5
18/06/13 8:31:00 PM,C,27.5
18/06/13 8:32:00 PM,C,27.5
18/06/13 8:33:00 PM,C,27
18/06/13 8:34:00 PM,C,27
18/06/13 8:35:00 PM,C,27
18/06/13 8:36:00 PM,C,27
18/06/13 8:37:00 PM,C,27
18/06/13 8:38:00 PM,C,27
18/06/13 8:39:00 PM,C,27
18/06/13 8:40:00 PM,C,27
18/06/13 8:41:00 PM,C,27
18/06/13 8:42:00 PM,C,27
18/06/13 8:43:00 PM,C,27
18/06/13 8:44:00 PM,C,27
18/06/13 8:45:00 PM,C,27
18/06/13 8:46:00 PM,C,26.5
18/06/13 8:47:00 PM,C,26.5
18/06/13 8:48:00 PM,C,26.5
18/06/13 8:49:00 PM,C,26.5
18/06/13 8:50:00 PM,C,26.5
18/06/13 8:51:00 PM,C,26.5
18/06/13 8:52:00 PM,C,26.5
18/06/13 8:53:00 PM,C,26.5
18/06/13 8:54:00 PM,C,26.5
18/06/13 8:55:00 PM,C,26.5
18/06/13 8:56:00 PM,C,26.5
18/06/13 8:57:00 PM,C,26.5
18/06/13 8:58:00 PM,C,26.5
18/06/13 8:59:00 PM,C,26.5
18/06/13 9:00:00 PM,C,26.5
18/06/13 9:01:00 PM,C,26.5
18/06/13 9:02:00 PM,C,26.5
18/06/13 9:03:00 PM,C,26.5
18/06/13 9:04:00 PM,C,26
18/06/13 9:05:00 PM,C,26
18/06/13 9:06:00 PM,C,26
18/06/13 9:07:00 PM,C,26
18/06/13 9:08:00 PM,C,26
18/06/13 9:09:00 PM,C,26
18/06/13 9:10:00 PM,C,26
18/06/13 9:11:00 PM,C,26
18/06/13 9:12:00 PM,C,26
18/06/13 9:13:00 PM,C,26
18/06/13 9:14:00 PM,C,26
18/06/13 9:15:00 PM,C,26
18/06/13 9:16:00 PM,C,26
18/06/13 9:17:00 PM,C,26
18/06/13 9:18:00 PM,C,26
18/06/13 9:19:00 PM,C,26
18/06/13 9:20:00 PM,C,26
18/06/13 9:21:00 PM,C,26
18/06/13 9:22:00 PM,C,26
18/06/13 9:23:00 PM,C,26
18/06/13 9:24:00 PM,C,25.5
18/06/13 9:25:00 PM,C,25.5
18/06/13 9:26:00 PM,C,25.5
18/06/13 9:27:00 PM,C,25.5
18/06/13 9:28:00 PM,C,25.5
18/06/13 9:29:00 PM,C,25.5
18/06/13 9:30:00 PM,C,25.5
18/06/13 9:31:00 PM,C,25.5
18/06/13 9:32:00 PM,C,25.5
18/06/13 9:33:00 PM,C,25.5
18/06/13 9:34:00 PM,C,25.5
18/06/13 9:35:00 PM,C,25.5
18/06/13 9:36:00 PM,C,25.5
18/06/13 9:37:00 PM,C,25.5
18/06/13 9:38:00 PM,C,25.5
18/06/13 9:39:00 PM,C,25.5
18/06/13 9:40:00 PM,C,25.5
18/06/13 9:41:00 PM,C,25.5
18/06/13 9:42:00 PM,C,25.5
18/06/13 9:43:00 PM,C,25.5
18/06/13 9:44:00 PM,C,25.5
18/06/13 9:45:00 PM,C,25.5
18/06/13 9:46:00 PM,C,25.5
18/06/13 9:47:00 PM,C,25.5
18/06/13 9:48:00 PM,C,25.5
18/06/13 9:49:00 PM,C,25.5
18/06/13 9:50:00 PM,C,25.5
18/06/13 9:51:00 PM,C,25.5
18/06/13 9:52:00 PM,C,25.5
18/06/13 9:53:00 PM,C,25.5
18/06/13 9:54:00 PM,C,25.5
18/06/13 9:55:00 PM,C,25.5
18/06/13 9:56:00 PM,C,25.5
18/06/13 9:57:00 PM,C,25.5
18/06/13 9:58:00 PM,C,25.5
18/06/13 9:59:00 PM,C,25.5
18/06/13 10:00:00 PM,C,25.5
18/06/13 10:01:00 PM,C,25.5
18/06/13 10:02:00 PM,C,25.5
18/06/13 10:03:00 PM,C,25
18/06/13 10:04:00 PM,C,25
18/06/13 10:05:00 PM,C,25
18/06/13 10:06:00 PM,C,25
18/06/13 10:07:00 PM,C,25
18/06/13 10:08:00 PM,C,25
18/06/13 10:09:00 PM,C,25
18/06/13 10:10:00 PM,C,25
18/06/13 10:11:00 PM,C,25
18/06/13 10:12:00 PM,C,25
18/06/13 10:13:00 PM,C,25
18/06/13 10:14:00 PM,C,25
18/06/13 10:15:00 PM,C,25
18/06/13 10:16:00 PM,C,25
18/06/13 10:17:00 PM,C,25
18/06/13 10:18:00 PM,C,25
18/06/13 10:19:00 PM,C,25
18/06/13 10:20:00 PM,C,25
18/06/13 10:21:00 PM,C,25
18/06/13 10:22:00 PM,C,25
18/06/13 10:23:00 PM,C,25
18/06/13 10:24:00 PM,C,25
18/06/13 10:25:00 PM,C,25
18/06/13 10:26:00 PM,C,25
18/06/13 10:27:00 PM,C,25
18/06/13 10:28:00 PM,C,25
18/06/13 10:29:00 PM,C,25
18/06/13 10:30:00 PM,C,25
18/06/13 10:31:00 PM,C,25
18/06/13 10:32:00 PM,C,25
18/06/13 10:33:00 PM,C,25
18/06/13 10:34:00 PM,C,25
18/06/13 10:35:00 PM,C,25
18/06/13 10:36:00 PM,C,25
18/06/13 10:37:00 PM,C,25
18/06/13 10:38:00 PM,C,25
18/06/13 10:39:00 PM,C,25
18/06/13 10:40:00 PM,C,25
18/06/13 10:41:00 PM,C,25
18/06/13 10:42:00 PM,C,25
18/06/13 10:43:00 PM,C,25
18/06/13 10:44:00 PM,C,25
18/06/13 10:45:00 PM,C,25
18/06/13 10:46:00 PM,C,25
18/06/13 10:47:00 PM,C,25
18/06/13 10:48:00 PM,C,25
18/06/13 10:49:00 PM,C,25
18/06/13 10:50:00 PM,C,25
18/06/13 10:51:00 PM,C,25
18/06/13 10:52:00 PM,C,25
18/06/13 10:53:00 PM,C,25
18/06/13 10:54:00 PM,C,25
18/06/13 10:55:00 PM,C,25
18/06/13 10:56:00 PM,C,25
18/06/13 10:57:00 PM,C,25
18/06/13 10:58:00 PM,C,25
18/06/13 10:59:00 PM,C,25
18/06/13 11:00:00 PM,C,25
18/06/13 11:01:00 PM,C,25
18/06/13 11:02:00 PM,C,25
18/06/13 11:03:00 PM,C,24.5
18/06/13 11:04:00 PM,C,25
18/06/13 11:05:00 PM,C,24.5
18/06/13 11:06:00 PM,C,24.5
18/06/13 11:07:00 PM,C,24.5
18/06/13 11:08:00 PM,C,24.5
18/06/13 11:09:00 PM,C,24.5
18/06/13 11:10:00 PM,C,24.5
18/06/13 11:11:00 PM,C,24.5
18/06/13 11:12:00 PM,C,24.5
18/06/13 11:13:00 PM,C,24.5
18/06/13 11:14:00 PM,C,24.5
18/06/13 11:15:00 PM,C,24.5
18/06/13 11:16:00 PM,C,24.5
18/06/13 11:17:00 PM,C,24.5
18/06/13 11:18:00 PM,C,24.5
18/06/13 11:19:00 PM,C,24.5
18/06/13 11:20:00 PM,C,24.5
18/06/13 11:21:00 PM,C,24.5
18/06/13 11:22:00 PM,C,24.5
18/06/13 11:23:00 PM,C,24.5
18/06/13 11:24:00 PM,C,24.5
18/06/13 11:25:00 PM,C,24.5
18/06/13 11:26:00 PM,C,24.5
18/06/13 11:27:00 PM,C,24.5
18/06/13 11:28:00 PM,C,24.5
18/06/13 11:29:00 PM,C,24.5
18/06/13 11:30:00 PM,C,24.5
18/06/13 11:31:00 PM,C,24.5
18/06/13 11:32:00 PM,C,24.5
18/06/13 11:33:00 PM,C,24.5
18/06/13 11:34:00 PM,C,24.5
